Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Quality Value,Signal Fallen Angel,Signal Recovery,Signal Deep Value Reversal,Signal Quality Momentum,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,81.54,80.86,82.22,A-,B+,QUALITY_MOMENTUM,QUALITY_MOMENTUM,MOMENTUM,MEDIUM,1,,0,False,False,False,False,True,20.95,28.91,16.5,14.5,126.80999755859376,109.583427734375,108.89129917144776,0.157200501758123,0.1645558324998333,57.66914608363005,40.203601398999645,43.19382985754489,False,False,0.3021209042656867,0.1126020562190284,135.0089504972229,-0.0607289584018936,5554000.0,8038905.0,0.6908901150094447,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,12.574593,3.8103967,5.1856527,7.643,0.0659778477283687,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,0.151,0.114,0.15807,8815875072.0,12627999744.0,OK,OK,,,1,133618712576.0,100.0,1,,3.0,Yearly,0.3181818181818182,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,15.807,9.0,4.0,3.5,7.0,1.5,0.0053115440953481,30.0,18.0,15.0,7.0,4.0,86
2,MU,"Micron Technology, Inc.",Technology,Semiconductors,77.29,75.69,78.89,B+,B+,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,18.54,28.14,14.5,14.5,975.260009765625,928.607001953125,621.9325054931641,0.050239776045599,0.5681122969964214,52.99519951103898,56.6251064635185,68.39588393636375,False,False,-0.0205448446333095,1.4073512027106214,1254.8069810301963,-0.2227808543390979,21694700.0,26086040.0,0.831659385633082,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,MAJOR_DRAWDOWN,6.24902,10.93157,12.20121,15.857,0.0069358443704176,0.66638,0.3487,0.80370003,0.55906,0.0671348972693626,3.457,13.685,0.0633,7639499776.0,51432001536.0,OK,OK,,,12,1101452017664.0,97.81,4,,3.0,Yearly,0.4054054054054054,0.9871794871794872,0.240506329113924,0.6666666666666666,0.0897435897435897,0.8513513513513513,0.9615384615384616,1.0,0.9746835443037974,6.33,4.5,6.0,4.0,7.0,1.5,-0.0021996536130989,30.0,13.0,15.0,7.0,6.0,109
3,IT,"Gartner, Inc.",Technology,Information Technology Services,73.54,75.97,71.11,B+,B,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,31.63,19.78,10.5,14.06,179.58999633789062,167.13480041503905,176.49699993133544,0.0745218583557827,0.0175243568318923,49.25010326279533,36.682874834665554,19.69206541686399,False,False,0.2068409332993726,0.1183137208623064,265.8500061035156,-0.3244687146331583,900500.0,1183715.0,0.7607405498789827,UPTREND,NEUTRAL,NEUTRAL,BULLISH,DEEP_DRAWDOWN,10.978263,-69.12625,1.7545761,9.525,0.0928101654600432,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,-0.006,0.331,,1052553024.0,1382615040.0,OK,OK,,,11,11340923904.0,98.01,3,,3.0,Yearly,,0.8717948717948718,0.8734177215189873,0.9230769230769232,0.935897435897436,0.9054054054054054,0.5897435897435898,0.4683544303797468,0.3291139240506329,,4.5,6.0,0.0,0.0,1.5,0.0525729778303079,20.0,18.0,12.0,10.0,4.0,194
,APA,APA Corporation,Energy,Oil & Gas E&P,83.19,79.71,86.67,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,30.63,27.58,8.0,13.5,44.72999954223633,38.7155101776123,33.649959812164305,0.1553509003764071,0.3292734907239514,63.61064997026733,75.70923616766272,80.55416401990338,False,False,0.224709792465618,0.3491915517697861,46.09999847412109,-0.029717982152512,4255100.0,5036155.0,0.8449104525178435,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NEAR_52W_HIGH,10.175067,2.2340426,1.8281875,3.502,0.1369867502652423,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,0.092,0.263,0.48854,2146749952.0,4528000000.0,OK,OK,,,2,15671223296.0,99.8,1,,3.0,Yearly,0.6842105263157895,0.9473684210526316,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,48.854,0.0,6.0,2.0,6.0,1.5,0.0044913713995526,30.0,20.0,15.0,7.0,6.0,46
,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,81.94,73.89,90.0,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,24.43,26.7,8.7,14.06,42.38999938964844,39.509375762939456,34.62244416236877,0.0729098744559528,0.2243502853482031,61.150620364372784,67.85709420029882,58.05576226245239,False,False,0.2327526645724902,0.424688142684666,43.470001220703125,-0.0248447619214771,2558000.0,3099180.0,0.8253796165437309,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NEAR_52W_HIGH,9.260432,-41.11542,2.772807,10.779,0.0956423694494688,,0.17361,0.28771,0.20169,0.0302622369907936,-0.012,0.504,,930664000.0,1207619968.0,PARTIAL,OK,,,18,9730666496.0,96.62,1,,3.0,Yearly,,0.85,0.35,0.6,0.8,,1.0,0.8,0.8,,2.7,6.0,0.0,0.0,1.5,0.013629834982872,30.0,20.0,15.0,10.0,6.0,9
,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,79.9,74.24,85.56,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,25.63,25.11,10.0,13.5,147.36000061035156,142.6193832397461,128.1134342956543,0.0332396429076993,0.1502306641025712,54.45698842727803,43.31451609427106,42.09238744478699,False,False,0.0873333584786271,0.1245209739777566,153.6699981689453,-0.0410620006102721,3074700.0,2777220.0,1.1071143085531574,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,10.215577,2.4302394,2.9373207,5.563,0.0570627626532813,0.22507,0.11017,0.40717998,0.25733,-0.0851440310887835,0.587,1.094,0.25891,4478750208.0,13358000128.0,OK,OK,,,16,78488141824.0,97.02,2,,3.0,Yearly,0.631578947368421,0.8947368421052632,0.3684210526315789,0.9473684210526316,0.5789473684210527,0.7368421052631579,0.9473684210526316,0.7894736842105263,0.8947368421052632,25.891,0.0,6.0,4.0,6.0,1.5,-0.000678191366895,30.0,16.0,15.0,10.0,6.0,50
,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,79.85,78.59,81.11,B+,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,29.7,20.9,13.5,14.5,253.7100067138672,256.84195526123045,220.65491775512692,-0.0121940690888208,0.1498044516525269,46.354969860941424,20.96775872954571,16.67906503190027,True,False,0.1602946943845471,0.2491246171502992,276.07103450236866,-0.0809973702196187,1336800.0,1520905.0,0.8789503617911704,UPTREND,UPTREND,NEUTRAL,BULLISH,NORMAL,9.189781,2.0330794,0.9146754,3.968,0.2362901438068875,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,0.118,0.612,0.22261,15158625280.0,12469000192.0,OK,OK,,,4,64152592384.0,99.4,1,,3.0,Yearly,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,22.261,4.5,6.0,3.0,7.0,1.5,0.0076254556532453,22.0,18.0,12.0,15.0,6.0,95
,PAYC,"Paycom Software, Inc.",Technology,Software - Application,78.98,62.4,95.56,C+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,18.67,20.43,14.3,9.0,218.91000366210935,188.969684753418,149.7796350479126,0.1584397992077926,0.4615471829136375,53.34621892229798,16.78905029750497,10.192591264972853,True,False,0.6581135592479868,0.7364340691202256,244.97999572753903,-0.1064168198223993,557700.0,639650.0,0.8718830610490111,RECOVERY,STRONG_UPTREND,NEUTRAL,OVERSOLD,CORRECTION,15.692361,16.662354,4.609066,14.256,0.0429452684217195,0.41089,0.087790005,0.31721002,0.22778,0.1426572993146497,0.098,0.481,1.71969,423724992.0,801500032.0,OK,OK,,,103,9866628096.0,79.72,26,,3.0,Yearly,0.2432432432432432,0.6282051282051282,0.5822784810126582,0.7307692307692307,0.6025641025641025,0.7297297297297297,0.5256410256410257,0.6962025316455697,0.6455696202531646,171.969,6.3,6.0,2.0,1.5,1.5,0.0132846253710783,30.0,20.0,15.0,15.0,6.0,1
,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,78.85,67.71,90.0,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.61,19.1,11.5,13.5,375.2000122070313,364.971748046875,311.7329829406738,0.0280248107282061,0.2035942063866751,58.6843751246366,99.39976986671184,66.00880459354748,False,False,0.2388378624349372,0.2518020698297731,397.3414841188364,-0.0557240378786703,1620900.0,1479965.0,1.095228603379134,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,12.420288,2.3630478,1.5977734,7.166,0.1888017579794364,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,0.003,0.571,0.27378,14775124992.0,11025999872.0,OK,OK,,,41,78257348608.0,92.05,9,,3.0,Yearly,0.4444444444444444,0.515625,0.828125,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,27.378,4.5,6.0,1.0,6.0,1.5,0.0207857620502338,30.0,20.0,15.0,10.0,6.0,9
,GEN,Gen Digital Inc.,Technology,Software - Infrastructure,78.11,69.55,86.67,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,27.24,20.51,14.3,7.5,30.26000022888184,28.046773529052736,24.47312295913696,0.078911989556891,0.2364584723987732,57.77418061935487,56.28933156433762,56.99808127942115,False,False,0.2695654880786942,0.4550608701426257,31.649999618530277,-0.0439178327457112,4797300.0,5434120.0,0.8828108322966736,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,9.149762,6.8245378,3.566301,10.687,0.0854140244451914,0.41944,0.084910005,0.35554,0.20732,0.1465900735417971,0.063,0.64,3.07831,1547124992.0,1570000000.0,OK,OK,,,30,18113243136.0,94.23,8,,3.0,Yearly,0.527027027027027,0.9102564102564102,0.7088607594936709,0.8974358974358975,0.8974358974358975,0.7567567567567568,0.4871794871794871,0.7721518987341772,0.5316455696202531,307.831,6.3,6.0,2.0,0.0,1.5,0.0096763737794989,30.0,20.0,15.0,7.0,6.0,46
