Ticker,Short Name,Sector,Industry,Market Cap,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Forward PER,PBR,PSR,EV/EBITDA,ROE,ROA,Debt/Equity Raw,Debt/Equity,Operating Margin,Profit Margin,Free Cash Flow,Operating Cash Flow,FCF Yield,Data Quality,Failed Reason
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,41423806464.0,0.004844098070605929,3.0,Yearly,0.081,0.085,21.74373,5.626699,5.619073,21.064,0.20971,0.086330004,56.336,0.56336,0.25559,0.19533001,1060374976.0,1608999936.0,0.02559820225409597,OK,
AAPL,Apple Inc.,Technology,Consumer Electronics,4849207869440.0,0.01812535743479393,3.0,Yearly,0.164,0.287,34.703167,45.14538,10.38768,29.002,1.4875101,0.27082002,78.445,0.78445,0.32623002,0.27618998,107721875456.0,146723995648.0,0.02221432414454116,OK,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,454361186304.0,0.017525049181538188,3.0,Yearly,0.102,2.904,15.794077,-76.54659,7.0568323,16.862,,0.105100006,,,0.40035,0.098000005,16870250496.0,19506999296.0,0.037129603065858274,PARTIAL,
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,101907333120.0,0.13378255972989694,3.0,Yearly,0.165,0.334,27.508255,12.87465,7.7443066,32.875,0.34542,0.061389998,32.004,0.32004,0.21009001,0.2045,3206874880.0,4860000256.0,0.03146853893452177,OK,
ABT,Abbott Laboratories,Healthcare,Medical Devices,177577836544.0,0.005127944169646348,3.0,Yearly,0.13,-0.475,16.808315,3.451603,3.8119102,17.48,0.10576,0.05328,63.212,0.63212,0.14706999,0.116450004,7209124864.0,9905000448.0,0.04059698554900309,OK,
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32766689280.0,0.2596165530127874,3.0,Yearly,-0.105,-0.071,9.848001,1.4065107,1.7037588,5.985,0.19936001,0.04124,17.836,0.17836,0.26584998,0.24396999,4302125056.0,6099999744.0,0.1312956893275731,OK,
ACN,Accenture plc,Technology,Information Technology Services,112536141824.0,0.04193654176414818,3.0,Yearly,0.056,0.09,12.529091,3.5283284,1.5394696,8.681,0.24406,0.10903,25.035,0.25035,0.16964,0.10656,12089380864.0,13182094336.0,0.10742665127890283,OK,
ADBE,Adobe Inc.,Technology,Software - Application,100261421056.0,0.10522339932516123,3.0,Yearly,0.129,0.105,9.11529,8.46921,3.8606632,10.328,0.61902,0.19731002,57.48,0.5748,0.34822,0.28048,9129875456.0,10805999616.0,0.09106070270937613,OK,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,183543709696.0,-0.028383891841526898,3.0,Yearly,0.396,1.635,23.169638,5.4706163,13.221949,27.501,0.12227,0.06406,27.314,0.27314,0.39503,0.29787,4147339008.0,5545325056.0,0.022595920148226055,OK,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,41795268608.0,-0.07541376844907977,3.0,Yearly,0.072,3.156,15.12116,1.7731613,0.50908375,16.809,0.07642,0.02257,39.134,0.39134,0.04008,0.021559998,1164625024.0,2795000064.0,0.027864996751739503,OK,
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,106569711616.0,0.06808407405467554,3.0,Yearly,0.068,0.098,20.021734,17.694084,4.855687,16.823,0.72239,0.062470004,91.436,0.9143600000000001,0.23459,0.20109,5243049984.0,5441200128.0,0.04919831258333655,OK,
ADSK,"Autodesk, Inc.",Technology,Software - Application,44391600128.0,0.12918055811635742,3.0,Yearly,0.161,0.596,14.942477,13.12164,5.6985364,19.222,0.53854,0.11472999,109.518,1.09518,0.29228002,0.21078,3157499904.0,2896000000.0,0.07112831920668719,OK,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,29040859136.0,0.03409709923004489,3.0,Yearly,-0.062,0.119,18.058653,2.1214635,3.4527237,13.035,0.11943,0.030569999,157.846,1.57846,0.25236,0.18583,-1786249984.0,3251000064.0,-0.06150816598210437,OK,
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,67140530176.0,0.036603082441915236,3.0,Yearly,0.07,-0.432,17.98642,2.0928576,2.9459229,13.431,0.10130999,0.029790001,160.789,1.6078899999999998,0.23251,0.13781999,-5995950080.0,7694000128.0,-0.08930447919136789,OK,
AES,The AES Corporation,Utilities,Utilities - Diversified,10547602432.0,-0.010249740650209005,3.0,Yearly,0.199,,6.2391896,2.1341991,0.8079977,12.168,0.095740005,0.02964,256.886,2.5688600000000004,0.18673,0.1434,-3089125120.0,5032000000.0,-0.2928746262399891,OK,
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,57794854912.0,-0.03229187547440737,3.0,Yearly,-0.01,0.468,15.286205,1.9101272,3.198564,10.723,0.16908,0.0313,53.365,0.5336500000000001,0.25722998,0.26908,5152249856.0,2647000064.0,0.08914720633601303,OK,
AIG,"American International Group, I",Financial Services,Insurance - Diversified,39389544448.0,-0.036944411466962035,3.0,Yearly,0.005,-0.101,8.57337,0.9734319,1.4731121,4.67,0.0722,0.01765,22.466,0.22466,0.19414,0.11089,7365000192.0,3849999872.0,0.18697855725960186,OK,
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,13931991040.0,0.07927210984608024,3.0,Yearly,0.094,0.305,12.053704,2.2874217,1.0353585,8.121,0.18341999,0.02564,36.211,0.36211,0.11734,0.07903,2149574912.0,1870700032.0,0.15429057525434642,OK,
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,61603868672.0,0.17699918642049317,3.0,Yearly,0.309,-0.107,16.138878,2.5970433,4.0772963,17.338,0.06722,0.02317,59.401,0.59401,0.1916,0.10378,2082300032.0,2448999936.0,0.03380144911169257,OK,
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,15347496960.0,0.05178977181914113,3.0,Yearly,0.054,-0.268,14.858587,3.2292109,3.5503323,19.753,0.08918,0.025150001,196.672,1.96672,0.076290004,0.09507,710060096.0,1447190016.0,0.04626553097554743,OK,
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,13867954176.0,-0.11101948515436078,3.0,Yearly,0.311,,10.402532,1.7246845,2.347356,11.285,0.02648,0.03165,18.976,0.18975999999999998,0.2771,0.03795,1334340224.0,1800327936.0,0.09621752473837998,OK,
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,10714231808.0,0.026117671821406674,3.0,Yearly,0.043,-0.121,12.018919,2.538758,2.5882714,10.514,0.10155,0.07556,2.855,0.02855,0.18247,0.09991,594111360.0,755696000.0,0.05545067258638128,OK,
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64152592384.0,0.09835266933147047,3.0,Yearly,0.118,0.612,9.189781,2.0330794,0.9146754,3.968,0.46113998,0.086780004,22.261,0.22261,0.22827,0.18971,15158625280.0,12469000192.0,0.23629014380688756,OK,
ALLE,Allegion plc,Industrials,Security & Protection Services,13040391168.0,0.07523170466176188,3.0,Yearly,0.127,0.162,15.6892805,6.156904,3.0407815,14.24,0.3373,0.1103,104.895,1.04895,0.22102,0.15357,484449984.0,769299968.0,0.03714995798506403,OK,
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,362269278208.0,0.032334704568867556,3.0,Yearly,0.248,0.428,24.735582,14.136756,11.747877,35.488,0.41068,0.15482001,28.666,0.28666,0.33736,0.30052,3075375104.0,8396000256.0,0.008489196542452178,OK,
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19566469120.0,0.1695341262686505,3.0,Yearly,0.259,,9.713841,1.6581773,0.8324032,9.498,0.09396,0.035669997,128.294,1.2829400000000002,0.09691,0.04705,1504000000.0,2151000064.0,0.07686619342386491,OK,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,842569351168.0,0.13643599335368428,3.0,Yearly,0.501,1.595,33.276188,12.530164,20.398724,87.192,0.10196,0.05128,6.361,0.06361,0.1725,0.15577,8841499648.0,10080000000.0,0.010493497818005834,OK,
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,55437328384.0,0.06364055992660522,3.0,Yearly,0.15,0.142,25.234167,4.924264,7.0495768,22.901,0.14562,0.08162,20.522,0.20521999999999999,0.26182,0.20044,1492221312.0,1960338944.0,0.026917265955959672,OK,
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,204007489536.0,0.11766399097603264,3.0,Yearly,0.095,0.649,15.463422,17.453747,5.3552303,14.323,0.91473,0.08667,490.281,4.90281,0.35548002,0.22951001,8645624832.0,12478000128.0,0.0423789580062175,OK,
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,49292722176.0,0.09030445218644934,3.0,Yearly,0.116,0.117,10.792076,7.7473807,2.4846373,,0.63432,0.022750001,67.578,0.67578,0.30719998,0.199,2903124992.0,8217999872.0,0.05889561103228125,OK,
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,82871001088.0,0.03340295998443743,3.0,Yearly,0.047,1.385,25.370756,22.278593,7.574007,18.826,0.33914003,0.04893,438.721,4.38721,0.45411,0.31083,2920012544.0,5774900224.0,0.0352356373841709,OK,
AMTM,"Amentum Holdings, Inc.",Industrials,Specialty Business Services,4758094848.0,0.23312031649773401,3.0,Yearly,-0.02,5.75,7.3725243,1.012645,0.33673707,8.169,0.04287,0.03081,79.871,0.7987099999999999,0.04384,0.01444,484249984.0,505000000.0,0.10177392411661315,OK,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2769709432832.0,0.11731283601806397,3.0,Yearly,0.196,2.423,24.681154,5.0195484,3.5706854,17.159,0.30558002,0.06589,45.617,0.45616999999999996,0.13689,0.1744,3219124992.0,161402994688.0,0.0011622609050034815,OK,
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,251727839232.0,0.27146525721597636,3.0,Yearly,0.377,0.357,38.67813,17.010994,23.881285,51.38,0.31476,0.14119,,,0.45393002,0.38371,3891512576.0,5306599936.0,0.015459206212045003,OK,
ANSS,,Unknown,Unknown,,,,None,,,,,,,,,,,,,,,,PARTIAL,
AON,Aon plc,Financial Services,Insurance Brokers,64208248832.0,0.11247318365137482,3.0,Yearly,0.022,-0.03,14.901295,6.685736,3.6529696,13.406,0.44699,0.05829,163.481,1.6348099999999999,0.23457001,0.22268,3190874880.0,3531000064.0,0.04969571570700955,OK,
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,7799793152.0,0.006729784443180398,3.0,Yearly,-0.007,-0.15,14.029761,4.2347994,2.0499337,10.585,0.27133,0.1254,36.766,0.36766,0.18929,0.13149,484612512.0,692300032.0,0.06213145689328147,OK,
APA,APA Corporation,Energy,Oil & Gas E&P,15671223296.0,-0.06959142043384259,3.0,Yearly,0.092,0.263,10.175067,2.2340426,1.8281875,3.502,0.26659,0.11598,48.854,0.48854,0.56331,0.19564,2146749952.0,4528000000.0,0.13698675026524235,OK,
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,64897245184.0,-0.01766923192508929,3.0,Yearly,0.046,,20.186522,4.6743226,5.149676,18.245,0.00023,0.047319997,110.091,1.1009099999999998,0.25536,-0.00375,-1497500032.0,4570800128.0,-0.023074939895433327,OK,
APH,Amphenol Corporation,Technology,Electronic Components,206943928320.0,0.2230660589034148,3.0,Yearly,0.55,0.593,25.633585,13.354551,7.1331444,23.296,0.38115,0.14473,120.415,1.20415,0.29779,0.17729001,3818374912.0,5871699968.0,0.018451253646328773,OK,
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,9637198848.0,0.052626267311163044,3.0,Yearly,0.023,-0.353,6.9648256,1.0840793,0.46969482,4.447,0.05158,0.067150004,64.938,0.6493800000000001,0.12675999,0.010720001,1615874944.0,1351000064.0,0.16767060319974006,OK,
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,8800952320.0,0.04564958075072889,3.0,Yearly,-0.119,,-63.135803,0.56134266,3.09857,14.159,-0.040760003,0.00928,68.67,0.6867,0.17282,-0.36078998,1344973952.0,1279448064.0,0.15282141103566393,OK,
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,27577243648.0,0.03827025829324082,3.0,Yearly,0.048,0.233,18.09537,1.8073584,5.603393,14.244,0.09792,0.03893,67.662,0.6766200000000001,0.37223998,0.28496,-2220956928.0,2019590016.0,-0.08053585616998643,OK,
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26283393024.0,0.054467774166829575,3.0,Yearly,0.023,-0.413,36.584446,2.1691887,8.52383,19.136,0.08487,0.02628,75.129,0.75129,0.30628002,0.33321998,1409144064.0,1660461952.0,0.05361347611068619,OK,
AVGO,Broadcom Inc.,Technology,Semiconductors,1728006324224.0,0.24378426000041764,3.0,Yearly,0.855,2.153,18.674767,17.335026,19.39314,33.744,0.44245,0.15369001,59.604,0.59604,0.54307,0.42944,30596499456.0,40653000704.0,0.017706242753330225,OK,
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,12955941888.0,-0.006824275768766208,3.0,Yearly,0.109,0.108,15.141817,5.5349326,1.40093,10.857,0.3116,0.08394,158.653,1.58653,0.13586001,0.076220006,1004600000.0,1233600000.0,0.07753971179281659,OK,
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water,27362996224.0,0.10670429850805996,3.0,Yearly,0.062,0.086,20.970629,2.3457358,5.178463,14.831,0.10095,0.03516,137.745,1.37745,0.40664002,0.21347,-1785374976.0,2334000128.0,-0.06524778797557458,OK,
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,38940344320.0,0.32787263939187605,3.0,Yearly,0.353,-0.182,45.332504,10.59713,12.09666,242.865,0.06221,0.00509,50.363,0.50363,0.0517,0.06191,222160000.0,265808992.0,0.005705137021243473,OK,
AXP,American Express Company,Financial Services,Credit Services,219266351104.0,0.10966360326420155,3.0,Yearly,0.128,0.11,16.106247,6.3934236,3.0920475,,0.34377,0.037920002,172.38,1.7238,0.2032,0.16141,,18474999808.0,,PARTIAL,
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,46963965952.0,0.05231525172845841,3.0,Yearly,0.084,0.077,16.447311,-16.911018,2.3497958,14.02,,0.11389,,,0.19082001,0.12399,903784256.0,3072342016.0,0.019244206439543925,PARTIAL,
BA,Boeing Company (The),Industrials,Aerospace & Defense,166211829760.0,0.10333066303739025,3.0,Yearly,0.08,,51.449986,27.274494,1.7683051,-67.387,1.73537,-0.01984,790.875,7.90875,4.0000003e-05,0.025910001,5625375232.0,3639000064.0,0.03384461406942398,OK,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,438375383040.0,0.06003133969580876,3.0,Yearly,0.168,0.341,11.841551,1.5934625,3.8477268,,0.111990005,0.00969,,,0.38305,0.29524,,94742003712.0,,PARTIAL,
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,15948166144.0,-0.005287656768822813,3.0,Yearly,0.197,0.092,13.244097,2.758462,1.1132324,11.059,0.17151,0.046329997,131.495,1.31495,0.09232,0.0661,379875008.0,1426000000.0,0.023819353558899067,OK,
