Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,135620739072.0,80.77,A-,100.0,20.86,28.91,16.5,14.5,1,,12.763,3.8674884,5.26335,7.761,0.0650038860746786,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6818181818181818,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,126.13999938964844,-0.01996742436609522,108.90935150146484,108.67082015991211,0.1582109125675204,0.16075317370412723,56.88418448077078,35.31718750297199,43.874523223309744,False,False,0.3625373517970438,0.09024805164266314,135.0089504972229,-0.06569157877985954,6251205.0,8093385.25,0.7723844605074249,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,30.0,16.0,15.0,7.0,4.0,80.0,B+,STRONG_UPTREND,,76
2,APA,APA Corporation,Energy,Oil & Gas E&P,15709762560.0,79.44,B+,99.8,30.5,27.44,8.0,13.5,1,,10.327752,2.2395365,1.8326834,3.43,0.1366506937199692,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.7222222222222222,0.8888888888888888,0.7222222222222222,1.0,1.0,0.8333333333333334,1.0,1.0,0.7777777777777778,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,44.529998779296875,-0.006913500718913945,38.4538553237915,33.54331946372986,0.15801129442919737,0.3275370324468583,62.932639785953846,72.16312296583276,77.37341820292465,False,True,0.1800898719653048,0.36923179241554993,46.099998474121094,-0.03405639363969959,6543316.0,5030880.8,1.300630299171469,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,30.0,20.0,15.0,3.0,6.0,82.22,B+,STRONG_UPTREND,,56
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25541943296.0,79.04,B+,99.6,20.61,27.63,16.3,14.5,1,,14.181564,3.9917004,4.389004,10.835,0.0462245398604771,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4444444444444444,0.6271186440677966,0.3833333333333333,0.7627118644067796,0.65,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,123.27999877929688,-0.021664973499343043,121.44539993286133,105.05385002136231,0.015106367531827258,0.17349339176268508,48.27117415020497,18.171901254574315,32.13637379983041,False,False,0.16975044589862298,0.3023451723005115,132.60000610351562,-0.07028662816910425,1456362.0,1233438.1,1.180733755508282,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,20.0,12.0,7.0,6.0,83.33,B+,STRONG_UPTREND,,49
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64119717888.0,78.24,B+,99.4,29.34,20.9,13.5,14.5,1,,9.185072,2.0320375,0.9142067,3.966,0.2364112909304757,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5483870967741935,0.875,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,251.7899932861328,-0.007058949964494632,256.6100021362305,220.43763053894043,-0.018783402088663692,0.14222781596109546,43.872671367858175,9.057013122360832,13.502858563927909,False,False,0.13207627036666625,0.23629499644424823,276.07103450236866,-0.0879521506484865,2521003.0,1507105.15,1.6727452626646522,UPTREND,BEARISH,OVERSOLD,NORMAL,22.0,16.0,12.0,7.0,6.0,70.0,B,UPTREND,,171
5,FSLR,"First Solar, Inc.",Technology,Solar,21827115008.0,78.21,B+,99.2,31.27,18.44,14.0,14.5,1,,8.765418,2.114942,4.05854,8.963,0.0732430648491133,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9178082191780822,0.935897435897436,0.6455696202531646,0.9487179487179488,0.8461538461538461,0.3378378378378378,0.5128205128205128,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,207.1699981689453,0.020039349793792294,217.3688006591797,229.96530113220214,-0.04691934840375478,-0.09912496733649523,45.56599203019208,41.440317382971934,39.22720537133551,False,False,-0.1688931896414574,0.0345567948511627,320.95001220703125,-0.3545100785498374,2188430.0,1929436.5,1.1342327150958325,STRONG_DOWNTREND,NEUTRAL,BULLISH,DEEP_DRAWDOWN,0.0,6.0,12.0,10.0,6.0,37.78,D,STRONG_DOWNTREND,,399
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25970022400.0,77.82,B+,99.01,23.0,21.32,19.0,14.5,2,,18.736118,1.5569992,1.8611168,5.714,0.1149354036752775,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.7258064516129032,0.171875,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,169.58999633789062,0.0022456687485745697,176.36819946289063,166.28415267944337,-0.03843211613909003,0.019880689802233675,42.86611457412082,28.0471562275018,28.870054367391702,False,False,0.02457146239029706,0.04588985542596569,194.80999755859375,-0.12945948122153028,369386.0,427069.3,0.8649322252852172,UPTREND,BEARISH,BEARISH,CORRECTION,22.0,12.0,12.0,7.0,6.0,65.56,B,UPTREND,,220
7,EIX,Edison International,Utilities,Utilities - Regulated Electric,22103713792.0,76.93,B+,98.81,33.57,27.16,8.7,7.5,1,,8.829099,1.2669004,1.1380174,7.508,0.0037267493044455,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.9666666666666668,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,56.75,-0.012012511197870057,71.45744232177735,67.40366172790527,-0.20582100119885083,-0.15805761074097002,34.64790413875666,18.64034838220049,22.979830785889693,False,False,-0.19687167683956175,-0.18751472549385628,81.62000274658203,-0.3047047526303043,5175643.0,6654867.15,0.7777229632600554,DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,10.0,0.0,10.0,7.0,4.0,34.44,F,DOWNTREND,,423
8,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27758161920.0,76.69,B+,98.61,28.06,26.47,9.65,12.5,1,,8.4314375,0.95157206,6.774242,12.567,0.009619836960732,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9629629629629628,1.0,0.7,0.9666666666666668,0.1,0.7407407407407407,0.8666666666666667,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,24.729999542236328,-0.019040046000317723,26.268000106811524,27.24828064918518,-0.058550348649358264,-0.09241981684536693,29.19265336068746,2.811232982273912,3.4201354346290356,False,False,-0.11490491177168694,-0.10081659702877077,31.432056623407316,-0.2132236258501773,10319085.0,9201684.25,1.1214343721911562,STRONG_DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,0.0,3.0,8.0,7.0,6.0,26.67,F,OVERSOLD,,475
9,IT,"Gartner, Inc.",Technology,Information Technology Services,10715750400.0,75.97,B+,98.41,31.63,19.78,10.5,14.06,2,,10.37308,-65.31563,1.6578543,9.206,0.0982248545094891,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,3.0,Yearly,-0.006,0.331,,1052553024.0,1382615040.0,,0.8589743589743589,0.8734177215189873,0.935897435897436,0.935897435897436,0.9054054054054054,0.5897435897435898,0.4683544303797468,0.3291139240506329,OK,,,4.5,6.0,0.0,0.0,1.5,OK,170.6199951171875,0.005480538997000517,166.21820037841798,176.7699499130249,0.02648202620861162,-0.034790725453411775,42.61595940623031,12.452728466541338,7.573576977878552,True,False,0.10141366653986306,0.06378200490347585,265.8500061035156,-0.3582095497460619,1011431.0,1219596.55,0.8293160553791333,DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,8.0,14.0,12.0,15.0,6.0,61.11,C+,RECOVERY,,264
10,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130311913472.0,75.7,B+,98.21,17.27,28.72,15.65,14.06,1,,14.0121565,-12.191058,4.614281,13.366,0.0592875585520433,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.5818181818181818,0.1111111111111111,0.4181818181818181,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,174.3300018310547,0.005189466604867743,193.9691995239258,185.18669914245606,-0.10124905263863115,-0.05862568619493447,30.271901257030066,8.919503442925032,5.989931748201589,False,False,0.08522162906761332,0.010824105106891357,223.49297579717424,-0.21997547704021014,6283772.0,5669658.6,1.1083157634923557,DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,10.0,14.0,10.0,12.0,6.0,57.78,C+,DOWNTREND,,281
