Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Williams %R,Oscillator Identity Error,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Data Quality,Technical Grade,Technical Failed Reason,Technical As Of,Stoch Bullish Cross,Stoch Bearish Cross,Williams Oversold Exit,Williams Overbought Exit,Oscillator Confirmation,Technical State,Trend State,RSI State,Stochastic State,Williams State,Drawdown State,Seasonality Score,Seasonality Data Quality,Seasonality Month,Seasonality Samples,Seasonality Mean Return,Seasonality Win Rate,Seasonality Method,Cycle Score,Cycle Data Quality,Cycle As Of,Cycle Source,Cycle Notes,Technical Rank,Fundamental Contribution,Technical Contribution,Cycle Contribution,Seasonality Contribution,Combined Score,Combined Data Quality,Combined Missing Inputs,Combined Rank,Score Model
1,NEM,Newmont Corporation,Basic Materials,Gold,130036170752.0,80.41,A-,100.0,20.5,28.91,16.5,14.5,1,,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,121.30000305175781,-0.018211250056039407,114.08046417236328,110.25671875,0.06328462048056349,0.10015974016783269,48.38701988875065,12.138209494066743,24.587625903927186,-87.86179050593326,0.0,0.292561725198339,0.23042148907690807,135.0089504972229,-0.10154102668731646,5108400.0,8039275.0,0.6354304337144829,30.0,18.0,12.0,7.0,4.0,78.89,OK,B+,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,OVERSOLD,CORRECTION,29.55,OK,9.0,9,-0.008438371019049762,0.3333333333333333,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,80,40.205,23.666999999999998,,1.4775,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
2,APA,APA Corporation,Energy,Oil & Gas E&P,15720271872.0,78.87,B+,99.8,29.79,27.58,8.0,13.5,1,,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,43.68000030517578,-0.0004576763710409937,40.53202484130859,34.454281406402586,0.07766637556826184,0.2677669805372518,52.29318583273728,26.84827299579938,25.6718798802746,-73.15172700420062,0.0,0.3197549524595693,0.08533980606450786,47.439998626708984,-0.07925797703156556,6136100.0,5516595.0,1.1122984377138434,30.0,16.0,15.0,15.0,6.0,91.11,OK,A,,2026-09-24,True,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,BEARISH,NORMAL,35.39,OK,9.0,9,-0.010054808833711286,0.5555555555555556,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,4,39.435,27.333,,1.7695,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25400053760.0,78.64,B+,99.6,20.21,27.63,16.3,14.5,1,,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,124.44000244140625,-0.0016045968326504623,122.86279998779297,105.99090003967285,0.012837103287325347,0.17406307895137996,50.63407738858748,44.566318691182154,45.92888460216083,-55.433681308817846,0.0,0.14733545539206383,0.37320678293733356,132.60000610351562,-0.06153848632359171,1404500.0,1443605.0,0.972911565144205,30.0,18.0,15.0,7.0,6.0,84.44,OK,B+,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,BEARISH,NORMAL,17.86,OK,9.0,9,-0.06971628242752775,0.2222222222222222,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,32,39.32,25.331999999999997,,0.893,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,63171502080.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.049241,2.0019872,0.9006872,3.911,0.2399598676758265,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,227.1699981689453,0.0066914583104276115,256.2062344360352,222.20808975219725,-0.11333149769366402,0.022330007977124033,27.31861262909159,3.7962341488790794,3.0771017801747096,-96.20376585112092,0.0,-0.023227506017480914,0.10615589281714066,276.07103450236866,-0.17713207914611473,2966500.0,1846230.0,1.6067878866663416,22.0,11.0,8.0,15.0,10.0,73.33,OK,B,,2026-09-24,True,False,False,False,REDUNDANT_SAME_WINDOW,RECOVERY,UPTREND,OVERSOLD,OVERSOLD,OVERSOLD,CORRECTION,52.92,OK,9.0,9,0.015267326558777902,0.7777777777777778,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,114,39.295,21.999,,2.6460000000000004,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
5,FSLR,"First Solar, Inc.",Technology,Solar,21059780608.0,78.47,B+,99.2,31.71,18.26,14.0,14.5,1,,8.428706,2.0405912,3.9158614,8.184,0.0759117499729653,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.9487179487179488,0.6455696202531646,0.9615384615384616,0.8607594936708861,0.3333333333333333,0.4936708860759494,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,172.16000366210938,-0.10319319389813775,211.9868005371094,227.0447011566162,-0.18787394674617075,-0.241735205512007,31.080290747519,2.7102447366596567,14.635744457592102,-97.28975526334034,0.0,-0.30681267821299163,-0.10728546428098384,320.95001220703125,-0.46359246887625527,6351300.0,2310210.0,2.749230589426935,0.0,3.0,10.0,7.0,6.0,28.89,OK,F,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_DOWNTREND,STRONG_DOWNTREND,BEARISH,OVERSOLD,OVERSOLD,DEEP_CRASH,41.23,OK,9.0,9,-0.017831722554809422,0.4444444444444444,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,430,39.235,8.667,,2.0615,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25937790976.0,77.42,B+,99.01,22.6,21.32,19.0,14.5,2,,18.712864,1.5550668,1.8588068,5.709,0.1150782273926826,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.6984126984126984,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,162.3300018310547,-0.0014763208608671308,173.52899993896483,166.51722663879394,-0.06453675242667889,-0.02514589566653125,29.428376100905794,0.46836510560846967,1.01543896030766,-99.53163489439153,0.0,-0.0903334009126543,0.0312733378777974,194.80999755859375,-0.16672653423636496,606300.0,623190.0,0.9728975111924132,10.0,9.0,8.0,7.0,6.0,44.44,OK,D,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,OVERSOLD,DOWNTREND,OVERSOLD,OVERSOLD,OVERSOLD,CORRECTION,23.7,OK,9.0,9,-0.009737955247131428,0.4444444444444444,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,312,38.71,13.331999999999999,,1.185,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
7,ADBE,Adobe Inc.,Technology,Software - Application,98945695744.0,77.24,B+,98.81,26.79,24.65,13.3,12.5,2,,8.994958,8.358068,3.81,10.194,0.0922715777310973,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9102564102564102,0.6708860759493671,0.9102564102564102,0.9367088607594936,0.8133333333333334,0.8734177215189873,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,238.92999267578125,-0.007312350940099632,257.4147988891602,263.2021999359131,-0.07180941536052976,-0.09221886164341275,38.3332986844881,5.3493625443860005,4.0357433767333015,-94.650637455614,0.0,0.2353548841930435,0.007081107168730227,363.70001220703125,-0.3430575071309768,3673700.0,5757300.0,0.6380942455664982,0.0,16.0,10.0,15.0,4.0,50.0,OK,C,,2026-09-24,True,False,False,False,REDUNDANT_SAME_WINDOW,RECOVERY,STRONG_DOWNTREND,BEARISH,OVERSOLD,OVERSOLD,DEEP_DRAWDOWN,17.86,OK,9.0,9,-0.0757261949540204,0.1111111111111111,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,256,38.62,15.0,,0.893,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21284061184.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.505436,1.219921,1.0958173,7.416,0.0038702670175522,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,52.540000915527344,-0.01812740490435627,67.83800048828125,67.34713460922241,-0.22550781955014398,-0.21986286097563834,30.16235553659523,1.7218686258549596,11.726664763658036,-98.27813137414503,0.0,-0.2837011427874828,-0.24515074135343418,81.62000274658203,-0.35628523465435025,4096600.0,7505030.0,0.5458472517764752,10.0,0.0,10.0,7.0,4.0,34.44,OK,F,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,DOWNTREND,DOWNTREND,BEARISH,OVERSOLD,OVERSOLD,DEEP_DRAWDOWN,23.7,OK,9.0,9,-0.025419211069090213,0.3333333333333333,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,388,38.47,10.331999999999999,,1.185,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
9,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130102091776.0,76.5,B+,98.41,18.07,28.72,15.65,14.06,1,,13.5680275,-11.802334,4.6068516,12.472,0.0593831743558883,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.6,0.109090909090909,0.4727272727272727,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,157.41000366210938,0.0096857589784618,191.2808233642578,183.2761018371582,-0.17707378662652407,-0.14113186561568725,23.97395393277486,5.137411438444408,4.953823074061247,-94.86258856155558,1.4210854715202004e-14,-0.10878193488592935,-0.06679941558392799,222.9545362694913,-0.29398160586495736,9491200.0,8351395.0,1.1364807915324326,10.0,3.0,8.0,15.0,6.0,46.67,OK,C,,2026-09-24,True,False,False,False,REDUNDANT_SAME_WINDOW,RECOVERY,DOWNTREND,EXTREME_OVERSOLD,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,17.86,OK,9.0,9,-0.017101672611144925,0.3333333333333333,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,284,38.25,14.001,,0.893,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
10,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,26117558272.0,76.39,B+,98.21,28.0,26.24,9.65,12.5,1,,7.93311,0.8953308,6.373861,12.116,0.0102241177838693,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,23.270000457763672,-0.018143472208160816,25.43474464416504,26.61593836784363,-0.0851097275276943,-0.1257118146216627,27.412765295589253,3.9757169771002148,7.706682749482801,-96.02428302289978,0.0,-0.11247333913320934,-0.11673242206094381,30.842622554927438,-0.24552458480720085,12140100.0,10478465.0,1.158576184584288,0.0,3.0,8.0,7.0,6.0,26.67,OK,F,,2026-09-24,False,False,False,False,REDUNDANT_SAME_WINDOW,OVERSOLD,STRONG_DOWNTREND,OVERSOLD,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,24.83,OK,9.0,8,-0.0083179435987676,0.5,MONTH_MEAN_RANK_SHRUNK_v1,,MISSING,,,,441,38.195,8.001,,1.2415,,INCOMPLETE,Cycle Score,,F50_T30_C15_S5_v1
